behav,S,a1,a2,a5,a6,a7,h1,h2,h5,c1,c2,c3,c4,d1,d3,Decay1,Decay2,Decay4,Decay7,Decay8,leakage_A1,leakage_B,leakage_HSPR,hstart,hduration,model_name,end_time
det,0.02653,36.016913649881566,68.28209536654184,13.614297775502799,2,300,22.10947648928991,14.245713218900248,6.488992481447848,6.791545862717292,1.8413457150937127,9.390998429667212,0.17292308967028935,4.028862247,4.3127926641749985,0.10821995912854551,0.12918277771660394,0.2308001080865408,0.081012333,0.2614721795670696,0.007280995,0.003897681,0.001706436,600,5,woA2,1000.0004996816032
det,0.08509,46.346234227916774,93.78281557,5.3489701551659845,2,300,1.6127864677800892,26.33695419483042,6.105348993975091,6.925396274238645,3.801664998794307,12.745925092417618,0.5984861349421082,1.9602224391086494,2.322599650795346,0.048202951,0.26085601399768116,0.28307773240147194,0.22037283118927906,0.097991424,0.008171054,0.001319862,0.006538999,600,5,woA2,1000.0003009380083
det,0.02623,29.58705805,74.74454881,8.274533405,2,300,2.999506975,13.18481731,33.93036408,14.73235941,2.327712547,7.68693616,0.116322866,7.533765699,2.05783247,0.286355241,0.048190309,0.317285416,0.390731104,0.353650239,0.001680342,0.003831461,0.002173019,600,5,woA2,1000.001257
nonres,-0.42510885,29.56571072,88.24051765,38.27715642,2,300,45.17582959,48.85618179,25.74839308,14.89583857,0.937504391,10.0478964,1.529772669,9.164686274,1.341596251,0.140532185,0.05224216,0.172894364,0.165887873,0.147266664,0.009956985,0.002006947,0.001591606,600,5,woA2,1000.000845
nonres,-0.19374,32.28782499342475,61.879234211793445,30.17419579143297,2,300,27.25006892865714,26.557022812863163,19.488984346981756,12.363894954174011,2.7254969019743003,11.853033205946444,0.36021653945966636,4.163521474370605,3.0369685821973484,0.3253586455699183,0.014040287396673528,0.23389349602711249,0.23055475494071354,0.306263852,0.005806872,0.009508151,0.001375282,600,5,woA2,1000.0003933000644
nonres,-0.02035,18.60867977,58.79300815,21.46207274,2,300,43.37256711,19.08248586,13.59143932,14.21191947,4.254151657,10.82552263,0.062915045,3.611779221,3.40123941,0.170773099,0.226741743,0.048342917,0.259547039,0.021215829,0.007088656,0.006686381,0.004366991,600,5,woA2,1000.000055
det,-0.0258,33.81362136,56.22644359407492,27.85309656521268,2,300,41.95340199760156,30.491025555090555,30.854268524779258,14.970988251804465,0.790910852,6.156726168635725,1.5739414808137373,4.263326561225602,1.9589430370202199,0.06731626,0.24853472355214304,0.3121355488493947,0.11199350009326693,0.36995914141117686,0.005802177,0.0057732,0.005821373,600,5,woA2,1000.0049981144144
det,0.2586,34.04449387,82.02740193,5.788295578,2,300,45.31590264,49.36040494,37.49384176,6.173671884,0.949075267,12.29142106,0.51389878,0.560228587,3.086615767,0.037671452,0.199288149,0.373297766,0.024985997,0.34619719,0.003447169,0.001676739,0.006103742,600,5,woA2,1000.000109
sto,0.4073,37.654046972214964,90.12917685108661,49.18346326694249,2,300,8.449429281,32.536079087051235,5.166482148195054,14.570170800550052,3.530827734107735,10.948151139437803,0.30094464454289305,7.347789866045368,2.968467892569926,0.04062085,0.0647572,0.28060481111864793,0.20502844600352096,0.015140341046695021,0.007410422,0.007803841,0.003490509,600,5,woA2,1000.0034418563939
nonres,-0.43019,28.92119737,61.28028806,45.18643297,2,300,37.11689815,2.386326179,10.90965647,5.101519685,1.838964962,10.41730804,0.624349543,3.617325131,4.924122938,0.33600655,0.387078297,0.172744765,0.169237456,0.046046466,0.009918244,0.005431506,0.003367333,600,5,woA2,1000.002137
det,0.005598,18.47423467,82.19855831,44.64092181,2,300,1.800548723,19.62259199,9.568638447,12.15292417,4.846386278,7.86279789,0.560813589,9.141935111,3.199565381,0.059375316,0.169055587,0.141024503,0.368794514,0.211999446,0.009956211,0.005128217,0.003119204,600,5,woA2,1000.001051
nonres,-0.56056,10.142768146113045,79.75551272078557,12.798557452061647,2,300,29.93945445604806,34.38871091354868,45.488808349575315,7.215218675320959,1.7633411582447291,7.534094439405543,1.196889236186755,6.837537157555269,0.099128043,0.3336015113640236,0.35465751747808905,0.21769338583551057,0.085178401,0.041374138,0.004020823,0.001106586,0.001855807,600,5,woA2,1000.002914247681
sto,-0.56542,43.91835788,74.11672283,27.35879892,2,300,11.80191297,24.33862621,5.39508514,7.160339756,1.812098761,11.39199095,1.719175515,5.986916574,2.647902568,0.15595362,0.162839249,0.242772491,0.376191785,0.028154564,0.002181118,0.008223919,0.001152743,600,5,woA2,1000.00012
sto,0.000618,21.16474914,66.8635344,47.6835,2,300,3.096243077,37.12856619,22.088948,11.50684176,4.478531134,12.6948285,1.68897706,4.146463071,2.751883002,0.056571195,0.033322722,0.237127067,0.336441469,0.044835596,0.008878283,0.001459862,0.004009308,600,5,woA2,1000.000453
sto,0.064135,42.64957426,75.27329301,34.11924269,2,300,13.03044018,33.41399093,44.299505,12.15213133,2.974206871,5.482445942,0.039094501,1.219261986,3.251903226,0.172152084,0.211305485,0.268638094,0.240602911,0.021647858,0.00352724,0.007027272,0.003398604,600,5,woA2,1000.000243
nonres,-0.76575,27.04457428,62.48387448,9.222738686,2,300,30.89909052,34.83218292,43.97018512,10.81057719,3.677423872,10.51841204,0.912826459,3.681952191,4.403785635,0.218339871,0.246396561,0.113749796,0.308108928,0.057904542,0.003546713,0.002496482,0.001538855,600,5,woA2,1000.001005
det,0.07105,21.113793494045723,85.45505250469233,21.86271188260986,2,300,5.090293049744467,30.092011267047116,26.25808336629461,13.82907010171529,2.211198789000303,14.723953778435671,1.3526544937245357,2.616404196558276,2.9987194149031087,0.38374833702828953,0.2354560679936378,0.24853050546416902,0.11877940659393996,0.3385939214853791,0.009199738,0.007389993,0.009522051,600,5,woA2,1000.0010876241503
nonres,-0.80345,13.04695636,84.74539141,37.13903533,2,300,26.33894746,3.102579874,27.67102901,13.39146858,1.766890812,13.62758857,1.451675968,1.442990823,0.565579942,0.295126888,0.133779932,0.179064714,0.017717133,0.164167823,0.003751754,0.007035409,0.003867173,600,5,woA2,1000.003784
det,-0.083,25.5740198,66.53279162,49.66499069,2,300,11.74809634,10.05816488,21.49061663,5.305750063,4.688601614,13.2328299,0.894596847,4.570345071,1.340110089,0.071848006,0.097010313,0.249265021,0.045218713,0.341757204,0.006909106,0.005147481,0.004905912,600,5,woA2,1000.000624
det,0.09356,46.50839514,73.35086697,11.64054412,2,300,21.56556878,24.92000973,31.95524267,12.54622549,3.971699921,10.29411403,1.181054395,4.650908778,4.46737963,0.142131319,0.020369894,0.320021793,0.249987911,0.374550573,0.002929867,0.002596259,0.008590702,600,5,woA2,1000.000372
det,0.12961,33.45439293,80.66718332,10.09635209,2,300,24.22954055,27.01333963,44.86818868,13.20215024,2.947195194,7.213500451,0.267436206,3.871678022,0.023139826,0.013232211,0.384773097,0.39358995,0.290862844,0.171449958,0.006722411,0.006350483,0.005607038,600,5,woA2,1000.001417
det,-0.01543,46.96770368065649,87.70302660351763,45.39774047927184,2,300,21.31893089,14.490591776859334,25.38361815559622,9.885489147930102,4.801467553087425,11.693477260596362,0.17754281614915865,0.13157040705753276,3.2097747291077576,0.15457843279017547,0.14499696429677175,0.21054555672525085,0.029176006,0.34288562950231055,0.003523108,0.007489775,0.003592973,600,5,woA2,1000.0001190298389
nonres,0.19644,13.26327091,94.52854793,31.88333255,2,300,47.89720429,27.77865289,31.32055076,14.47143346,2.000350687,10.20478221,1.051336868,7.089409603,1.474684547,0.381793403,0.056837277,0.203342831,0.258613701,0.011401694,0.004311503,0.003551301,0.006109024,600,5,woA2,1000.004421
